Sender	Receiver	Amount	Priority
FZP	GHY	480	U
AEK	KAP	357	HU
QRM	UYU	437	N
PML	CTS	335	U
MQI	WLW	530	HU
TYX	VCD	584	U
CDE	CNE	642	N
JMV	VPX	608	HU
DVF	BDV	362	U
BFY	IFV	408	U
CTS	AKB	500	U
NOI	KPY	436	HU
GXL	VSF	419	N
BQI	THN	309	HU
XMX	WTJ	431	HU
JHG	URY	843	HU
WMF	XXS	946	HU
EEZ	WFM	760	U
MTP	EVT	483	HU
YAD	HEP	349	HU
RGQ	KOK	479	U
RXJ	MPP	430	N
ZPO	PGE	352	U
ZQM	RGG	638	U
OHP	BQI	479	HU
RUO	HFG	433	N
EVT	DOO	115	U
UXY	UIO	598	HU
YVB	WXR	439	N
MIA	NCD	812	U
DWF	CZY	306	HU
LOB	LRM	370	HU
VOM	DVB	611	HU
UIO	TKE	48	U
IOY	JIJ	544	HU
QZJ	AEK	474	N
YFV	SWL	601	HU
ZVX	PZL	236	N
GAF	FZM	709	N
XAD	EVJ	505	N
IHN	TAH	901	U
QSJ	RAE	675	HU
XHF	UKX	665	HU
QRM	RDQ	625	N
EOZ	NOG	464	HU
BOD	QRG	798	HU
YBW	VSJ	336	HU
UTG	MFZ	816	N
JMU	VPO	363	U
FJQ	QGE	676	U
ADN	EQF	584	HU
GTY	ZZG	388	N
YQI	NUT	392	N
DWF	HEP	514	U
EYP	JHH	461	HU
TRK	OLL	534	N
GBV	SZB	686	HU
BUP	WNS	362	HU
JCH	RKX	486	U
OWR	MNR	598	U
NDQ	OBF	416	U
EVJ	MFZ	742	N
PBY	OZR	534	N
SWX	ETI	548	N
HES	GAF	273	HU
ADN	JRS	492	HU
FUM	CBF	634	HU
KFE	CGW	967	HU
QJQ	ZPX	827	U
EUI	CTR	400	N
LHY	GXL	735	HU
DKD	CGQ	264	N
HBF	DVB	283	HU
UOA	CKH	549	U
WMF	YVI	552	N
LBB	UCW	603	N
SZE	XLY	438	HU
BGV	YTD	400	HU
MNT	FJD	568	U
FUX	QSU	526	U
FZP	HRF	673	N
HZZ	TUF	413	U
WLW	XGS	877	HU
VXM	OPV	327	HU
XKY	ZLP	220	HU
FVE	BGC	564	N
AGK	LWJ	415	N
IHN	BBH	398	N
FJD	MJU	761	U
MYL	SMD	133	HU
HAD	RCS	724	HU
XVV	NCW	504	HU
KZS	QSU	430	HU
UYG	MHM	50	HU
UCA	MGI	868	HU
TQE	YQM	379	N
NWY	VSG	575	N
VKO	ZIH	573	N
GAF	QSU	253	N
YYU	UUM	597	N
EFU	ARR	772	N
OZR	ILL	756	N
OQM	EEB	443	U
HIB	MTJ	546	HU
HGA	ITZ	564	N
ONK	ETI	498	N
CBV	VZB	664	HU
HIB	QGQ	130	HU
HES	XVV	536	U
XVV	ZQM	266	N
BUS	KJH	786	N
IIR	GVY	741	N
PNL	AEL	415	U
CNJ	VCD	652	HU
QGQ	PNL	555	N
UES	TNY	536	HU
KHM	YJG	559	N
RCT	AVF	115	HU
RWT	NOI	325	HU
SSS	AXS	677	N
JMX	TIP	623	N
JYB	SZE	409	N
CIN	PNL	418	N
NVN	YFV	365	U
ZUO	TYL	309	N
KUI	FDB	800	U
HES	ILL	218	HU
PUN	TCJ	729	HU
PPI	UJF	419	U
YYU	EAW	439	U
UDH	YAR	579	U
OKU	STC	292	HU
ERF	VKC	548	HU
IIR	YWP	411	HU
XSD	VIX	557	U
SQA	LHY	491	N
YKD	HAD	789	U
VFO	QMZ	818	HU
OHP	NQP	283	HU
BSF	AXK	614	N
TTS	FCU	709	U
PRR	SEC	618	HU
KZS	QPT	773	HU
NLP	OOU	598	N
WAL	DOO	173	HU
RBL	BTW	363	U
UNO	NXQ	776	U
EUI	BDV	396	HU
WNA	DRR	488	U
LXX	TKE	761	HU
OOU	OPV	280	HU
CIM	ZWY	557	U
MIW	NTD	617	U
KNI	NZY	267	U
AJH	JGG	201	N
JRS	ZLP	613	N
DOO	URY	479	N
NGA	EKM	531	U
JIJ	IOY	465	HU
XKY	GZM	743	HU
ZTU	PGP	201	HU
OHP	LKR	629	U
BTY	HBP	406	U
KRA	ADN	925	HU
TQH	EIV	515	HU
PZL	SYS	698	N
BKZ	LZB	465	U
FJD	VNU	561	HU
LRA	XKJ	157	N
JIT	SUS	245	U
FZM	HQX	178	HU
KQH	RUB	357	U
AKP	BSE	806	HU
UAZ	HJX	347	HU
URY	IPZ	284	N
CBH	TKJ	323	U
RKE	LVL	848	N
WEW	VLG	252	N
FAS	PBY	464	U
GED	KVY	480	N
ZOP	NDQ	457	HU
NGH	JIJ	661	N
UCA	VCP	62	N
BXQ	ROO	718	N
JLY	NSL	707	HU
BHA	YRG	346	N
NYT	ZOP	556	N
ATK	HPD	475	HU
KAP	SIF	766	HU
KGF	JCZ	325	U
EEM	XVT	564	HU
THN	OPV	640	N
QJQ	QRS	484	U
CNJ	JKU	567	N
KHM	SFM	510	N
EVS	GZQ	645	N
ONE	QGE	755	U
JIT	VSF	259	U
OPV	EQF	634	HU
ZVD	UUZ	673	U
AKI	YYE	762	U
FSK	VCH	372	N
YXQ	ZXZ	189	N
SRE	GWX	904	U
JRY	QJQ	918	N
KNG	MTP	694	HU
XQF	EUI	467	HU
OUQ	HEG	820	U
WTJ	WAH	621	N
BEX	JPE	1272	N
NVR	KNG	82	U
AXS	JMU	495	HU
CCI	ZIM	383	U
JUO	DQP	581	U
YCO	EOH	677	HU
CHM	NVR	624	U
OZR	FDA	662	HU
GQI	WTJ	363	N
WGO	NOG	542	HU
BAC	ITQ	636	HU
EVJ	PWI	949	N
URW	EOZ	989	N
LIP	JNF	683	U
KLF	GZO	222	HU
GHY	YPC	80	U
PML	MRB	719	U
BMV	QLI	330	HU
IAQ	DNL	555	N
ZGX	FSK	475	HU
ZKP	JRF	278	HU
YKU	AKP	640	HU
QGZ	LPK	539	U
KPY	ZIM	697	N
RZN	ZHF	384	U
LPO	KUI	491	N
RNW	RRJ	164	U
ANK	MZD	715	HU
UAZ	QYJ	558	HU
QRM	KPC	684	U
UYG	VEK	394	N
HGW	AZP	322	U
IAQ	YYU	431	U
IJD	YAR	310	HU
YKU	ZPO	297	N
QZO	BMT	614	U
XUL	FMK	65	HU
BOD	AKP	624	U
MYG	WOV	518	HU
QQE	SIF	615	N
ZTY	JYB	431	HU
RQR	GQI	692	U
ATK	JRS	338	U
ZKP	CNE	494	HU
YKD	CZY	277	U
RYC	MJU	580	U
EFK	YPK	361	N
QPC	WGA	511	U
IKW	AUE	160	N
YZD	IJD	687	U
WAH	ITQ	436	HU
OHP	XGS	536	N
ZKP	ZTY	742	U
ZZE	SQA	737	HU
ONK	UAD	525	U
EOB	IUQ	829	U
ADF	MPP	355	N
NGA	QGE	681	U
DMR	MNR	156	N
JLP	SAQ	220	U
DWZ	CIR	699	N
EVT	LXX	686	N
CST	RRN	479	HU
YVB	OMK	70	N
WBH	FUZ	225	U
UQU	SKK	178	U
QSD	SFL	578	N
ZWP	RRN	462	U
RCS	CIC	571	HU
PML	HMA	846	HU
SKK	FUX	901	U
GYR	ZVR	197	N
ETI	ZAG	264	U
AJH	PHV	431	HU
WGA	HDZ	349	HU
QGE	KCM	357	HU
NYT	QXV	502	HU
JPE	WER	623	U
FZP	NIV	793	HU
RWC	ROO	840	U
EOU	MRB	796	HU
STC	OJA	772	U
SJN	BGC	386	N
MYT	TYP	693	N
WKT	RGQ	401	U
WXZ	XVV	670	U
GKR	NRU	660	U
UDH	YKU	707	N
LKF	CGO	77	HU
JNF	JGG	456	N
NIU	YBW	255	N
SMD	CBH	367	HU
RUO	GWX	704	U
MCY	UUZ	624	HU
ECV	MZD	844	HU
ZZE	RDP	252	N
AEL	EEB	172	N
CBO	CIN	371	N
BBP	MRB	676	U
XXS	YAR	383	HU
UDH	XKP	506	HU
TQE	YPK	186	N
LZB	MTJ	409	N
YXQ	TBC	649	N
WAH	FIX	456	U
DYE	ITQ	346	HU
ZIH	FEL	185	N
LNA	MFI	717	HU
CZY	YZK	646	U
LGV	IEE	465	HU
YVJ	UWM	563	HU
NGH	ARR	785	U
MIA	AYK	341	HU
KHM	XTN	340	U
BGV	CBF	373	N
SRZ	XPK	570	U
PBY	GWQ	759	HU
TKJ	ZHF	311	N
MIW	VSP	302	N
OUQ	MYL	509	HU
YCO	LKR	770	HU
ANY	YJG	561	N
KZQ	SSS	857	HU
LVL	ZCV	507	U
UYG	VQE	530	N
PKF	RFL	311	HU
JTW	UFZ	461	U
EDR	FDB	424	N
NIN	LNA	772	U
NXQ	WOV	657	N
MYG	NZW	412	N
SQA	CGO	505	HU
GIC	WNS	535	HU
FCT	FZZ	650	U
DVF	YHO	584	N
WTC	TNV	497	N
DOJ	LPK	147	HU
RNV	CNJ	381	N
JLJ	TWZ	635	U
QKC	HGC	635	U
CCI	XQU	704	HU
JIT	QMI	527	HU
HGA	AKI	139	HU
QRM	JYB	178	HU
FDA	BUN	301	HU
ALJ	BFY	384	N
VCD	TKJ	517	HU
QMZ	EFU	98	N
YFF	GIC	527	HU
OGD	MYT	355	N
XJY	YRG	835	U
JNF	YKD	129	HU
LNA	WXE	418	N
JLY	AAK	260	U
VIX	JFB	326	U
XHF	CGQ	19	U
FPR	NOG	227	N
AKB	ZQM	860	N
RJY	AVF	769	U
IOI	HTL	822	HU
EVJ	YXD	573	U
BCS	UPD	419	HU
UDF	KJH	703	U
UWR	MTK	296	U
ZGX	WPO	764	N
QSJ	GAM	672	N
IGT	KGO	325	N
WBY	RQF	662	U
IKW	VKA	595	HU
ZFS	EJO	561	U
VKO	DMV	521	N
HJX	JLJ	395	HU
RRN	PAE	391	HU
IPY	RCT	130	N
VQE	BHP	358	U
IGT	PBY	709	U
RRJ	IUQ	525	U
NVR	SWX	520	HU
SIF	DMV	546	N
UEK	CXU	250	U
TBE	BKZ	173	HU
FLU	HTL	661	HU
RBW	VQA	469	U
ENT	HSX	277	N
THI	SYS	568	HU
MHR	BBP	89	HU
PKF	KAZ	509	N
BZC	EUI	212	N
JLY	JRF	248	HU
ZZE	HSU	498	HU
UYU	WTJ	800	N
FXR	UQU	509	U
QGQ	IBK	532	U
VFO	KJH	390	N
SAQ	VOM	306	HU
CBV	RBW	596	HU
FCU	AVM	389	HU
PML	JUO	361	N
BBP	OWU	441	N
QHW	GGJ	778	HU
PBY	WBH	345	HU
NOG	NLV	283	U
ZIM	UHB	768	U
PWI	VTT	234	HU
HWA	VKS	895	N
GZQ	UQR	371	N
JPE	VSQ	249	N
PQT	TUF	294	HU
RWT	DNH	590	U
JUO	ZMF	530	HU
NKZ	SEC	732	U
BQI	FZM	193	U
ZJY	YXH	490	N
WGA	XJY	702	U
KGF	UYB	573	N
RRN	JOZ	578	U
UKJ	NRH	546	HU
KSL	FAS	245	HU
QZO	CBH	607	U
SOY	AEG	544	N
TRK	KRA	813	U
WJZ	NER	806	U
BZC	LVL	599	N
WVH	YCO	278	HU
MPP	IBK	420	HU
JCF	RBX	78	HU
JFO	MNT	306	U
NIU	HIB	203	N
DDV	YCP	232	N
JMU	VWW	641	HU
DWZ	PAE	734	HU
QSU	JRG	276	N
CST	WTO	232	HU
VPX	YYU	651	N
VZB	RZN	266	N
LUO	BPN	298	U
UZH	VKC	643	N
VYG	VOA	797	N
OMK	NOH	289	HU
GVY	DOJ	300	U
GVS	NXX	429	N
YYE	BUN	469	N
BXQ	CEP	780	U
RDQ	ZHF	186	U
MYG	JLP	564	N
AKP	UDH	490	U
AKP	YBW	776	HU
JTW	SOB	446	U
AJU	TYL	597	HU
OOU	KVY	128	U
XZE	YVJ	466	N
YXH	VHO	321	HU
BKV	DYX	372	N
UFZ	AYK	473	N
DED	UNO	846	U
CBV	DMP	284	U
TNY	KOV	522	N
FCU	XEW	664	U
JHG	TRA	527	U
KAP	JCF	709	U
FUX	VKO	581	HU
ICL	OJH	517	HU
SLR	EVJ	448	HU
WGO	UOA	455	U
XKY	TUF	647	N
UWV	IHI	1097	U
LUO	SOD	543	N
UQU	TUF	574	HU
RVS	VKA	579	HU
DSB	LZB	558	HU
QTZ	JHZ	456	HU
RSU	LUO	370	N
ZUO	HSU	637	N
JKR	FRM	440	U
ONE	UFZ	729	U
UAZ	YVI	333	U
XPK	TYL	200	U
XPK	ADN	509	U
FTT	ZJY	399	U
DEG	DXL	589	U
AUE	LRA	585	N
YQX	PWS	614	N
WKS	EDR	860	U
ONC	HGW	77	HU
TYL	FXR	561	N
BMT	RDP	469	HU
YZD	ZQJ	651	N
CBV	TTS	870	HU
ANK	ICL	717	U
KOK	KQK	494	N
MHM	MYT	367	U
HXU	RBX	255	U
DVF	RGQ	67	N
YFV	UUX	280	HU
DDK	NXH	304	HU
SOW	WKS	418	HU
VOM	WSK	620	N
OUA	ATK	123	HU
ZUO	YAD	790	U
WCF	RWH	339	U
ILR	SHU	324	U
CST	CDH	675	U
FZM	AYI	402	U
QQE	QGP	336	N
JKR	MQI	386	N
YTD	QSU	180	U
ZJB	NDQ	538	N
UBZ	LUO	571	U
JBR	SFB	881	HU
JLY	VKS	630	U
BHB	ODH	814	U
XAD	PBC	549	HU
TLF	MYZ	497	N
FSX	QSJ	621	HU
UQR	NGF	977	HU
ZPO	DNL	870	HU
RWW	ZMJ	738	U
SAQ	DPJ	794	N
ZFS	HJY	641	N
YZF	VSF	489	U
CNE	GOX	657	N
EEM	ZTY	660	U
MGS	LND	550	HU
RDR	ZMF	1016	U
BIA	PGD	610	N
HGA	QSU	678	N
JRY	FCT	585	U
UKX	KAP	631	HU
NZW	TSM	557	HU
FRP	ZWY	488	N
AKP	AEL	641	N
JPB	HMZ	839	N
FIW	MYG	744	N
UWR	QHW	454	HU
THI	AKB	832	U
NVN	NXQ	563	U
QZJ	WVH	564	N
UKJ	SZE	407	HU
NWY	CQH	361	HU
BBP	UNO	488	N
YKU	RQF	422	HU
NXQ	NDQ	348	HU
DOA	MJU	439	U
GZE	NOG	586	N
MYZ	UXP	639	N
RQF	YUI	659	N
NTD	IEE	631	U
OUG	AEL	359	N
MNR	UAD	339	U
WSK	IJD	451	HU
SAQ	HSU	439	N
XHN	EOB	387	U
UES	GZO	530	HU
CYO	IOI	371	N
UES	FCU	459	HU
RWT	UEN	799	U
WDQ	GZE	411	U
OQA	OWU	407	U
SQN	ZMF	345	HU
DED	CCI	344	U
FMK	AKP	121	HU
SRZ	MRB	755	U
XCD	MYT	839	N
BKV	CEP	521	N
WXE	VLW	747	HU
JYB	RWH	451	U
DNH	KOV	239	HU
TAH	EOH	665	HU
UEN	BHP	328	N
MYG	HES	588	N
UUM	WXZ	423	U
UYU	TAY	538	N
NRH	MOI	341	N
FPR	BBP	1117	U
JLJ	XED	852	N
KFE	BSE	535	N
DWZ	JFO	215	N
JXG	YUI	419	N
AXX	JGG	193	HU
JPE	CIN	516	N
FZZ	SOQ	672	N
XKY	NCD	265	HU
OKU	HJX	58	HU
ARR	HGD	542	HU
KSL	PRR	543	HU
UBZ	OVH	604	U
VZB	IEG	653	U
XQF	VOM	269	U
DMV	XTP	680	HU
ANK	EFK	343	HU
PKF	KFE	890	U
TBC	FUM	526	U
GCA	AXT	1058	U
XPK	NDU	623	N
GOJ	JLP	722	N
LSO	FSK	279	U
WNA	RCT	255	HU
UES	CYO	492	U
QZO	GOX	176	U
CIC	DAZ	573	HU
IWU	JAZ	460	U
KNG	PFK	453	U
CIM	KVQ	579	N
FCY	TNY	284	N
SXR	EQF	246	N
ZGX	YPK	182	N
KPC	TYL	769	N
QES	OOU	792	HU
CEP	JBT	483	HU
FAS	ONK	612	HU
FIW	ZMJ	733	N
HTL	TNY	304	N
CIC	NXX	492	HU
UEN	SWX	504	N
DNH	IGF	644	U
UQR	HZZ	758	N
SRE	LUO	206	N
IRB	JTW	593	HU
RDP	JAZ	462	N
IJD	JIA	472	U
JND	RQF	413	N
TSF	DOA	70	N
DWZ	MPP	402	HU
NSL	JOJ	511	U
OUQ	BMT	514	U
ONE	BXQ	102	U
BTY	RNW	537	N
CNE	HEG	590	HU
PUN	RWW	508	HU
IPY	ABO	657	U
EDR	EFC	731	HU
PRS	YQI	506	HU
KVY	MOI	706	HU
TUF	BGA	518	U
TQH	SJI	147	HU
YYU	WSK	901	HU
CBF	TCY	676	N
ISF	ERF	94	U
CUK	NIU	429	U
SFB	IEE	243	N
AGK	RWT	344	N
JTW	FPH	682	HU
RAE	XTN	502	U
XAD	QJQ	620	U
DLI	HIB	431	U
XVV	MGS	615	N
RRN	JIA	784	N
FWK	VTT	516	U
JUE	UDF	371	N
NOH	JRS	338	HU
IWU	DED	638	HU
WPL	DWZ	471	N
BQC	QPT	616	HU
TNS	LBB	168	N
RRN	GZM	189	HU
AQD	CIR	512	N
CYO	EDI	172	U
NXA	SST	989	N
FCU	HQQ	362	U
TYL	EBF	400	HU
CUK	HWA	338	HU
PID	XAH	321	N
MQI	OJA	907	HU
WGM	FRP	595	U
SFB	ZTY	513	U
QJQ	SWL	412	U
ITZ	YQX	764	N
AXT	JIJ	537	U
RFL	FIX	798	U
DNL	QGZ	254	N
EDR	WKT	544	N
KDX	TYL	763	U
EEB	JAZ	393	N
VWW	EWS	494	HU
JNF	THJ	285	U
ZXZ	SIF	422	HU
AZP	ZJU	292	N
KGO	SOW	617	HU
SZE	GIC	492	U
ZZQ	VLG	676	N
TDX	YQI	324	HU
PAE	JCZ	398	U
OPV	DVH	312	U
RZN	YQW	491	N
DOA	DED	336	N
SJN	ZWM	796	N
TQE	MYG	733	U
OMV	KZQ	470	HU
RUB	PIH	788	U
UWM	UFZ	686	N
PBY	UXP	675	U
DVT	FJQ	388	N
LAE	YSR	462	N
OJA	BAX	518	HU
CIM	AKP	509	HU
UUM	EFU	288	HU
DVB	NGF	507	HU
HTL	ZTW	532	U
ZQJ	KPZ	189	U
JLJ	BUS	738	U
OUF	ZWP	642	U
KQU	TRA	669	N
VXM	JCH	677	N
XJY	VIX	523	U
MGV	LGB	493	U
XKY	YFF	502	U
KUL	CIR	679	U
BHV	GYR	428	HU
CIR	MPP	454	HU
KUL	UWV	587	HU
UEK	CHM	344	U
YCP	YHO	515	HU
MGS	WPL	326	N
GOX	RJY	612	N
JTW	KUI	569	N
GFC	NXX	686	U
XVT	QPJ	463	N
JRF	IRB	415	HU
GIC	GYR	362	U
WTO	YMC	520	U
WSK	EDI	326	U
JAZ	TGG	420	N
HWH	FQM	663	HU
NOI	BUN	503	U
PWI	BMT	571	N
YYU	FJQ	392	U
EVJ	FVE	564	N
JCF	DKD	617	U
HBP	DKD	893	U
JPE	XTN	279	N
AZP	ZPO	745	N
ZMF	UWM	542	U
JGK	WVY	595	U
JIJ	FLU	397	HU
EOZ	NOG	253	HU
TNS	XZE	323	HU
ZOP	QSU	616	HU
OVR	BAC	777	N
OMV	DYE	766	N
BWO	HJX	190	HU
ETI	OKU	662	N
SOW	PUN	426	U
JIA	YFF	137	U
HDZ	XAH	548	U
FWK	FVE	677	U
TQE	UXY	214	HU
ZUO	XKJ	66	U
TCJ	AUE	579	U
YPK	NXH	408	N
GFC	BHV	458	U
SHG	QPT	558	HU
XVD	OZR	479	N
BUS	YGM	575	N
TYL	KRA	551	HU
DMR	PYK	336	N
UUM	WDQ	617	N
BGC	PWS	320	U
WNA	LGB	758	HU
BAB	CEW	913	U
QMZ	ZVR	534	N
ZHF	RZN	518	U
XMH	BIA	794	U
WMF	RJX	688	N
UUZ	OVH	409	N
DXL	IPY	514	U
CBF	ICL	868	U
VCP	QSJ	406	N
OPV	XAD	697	N
SAQ	FPI	714	HU
VSF	AVF	676	U
YBB	QFW	454	HU
EQF	RDP	653	U
ALJ	YZK	328	N
CCI	OUG	548	HU
FUX	EOB	324	N
WTO	CBO	563	HU
YXQ	HGC	421	U
SOB	YPK	113	N
NXX	YVJ	629	N
YKD	ZTY	589	N
ZWP	LKF	485	U
TRK	GAF	470	U
YZK	NWY	551	N
TTP	CGX	167	U
ZGX	CXU	344	N
ADF	UWM	473	U
RKX	YKU	678	U
BOD	RDO	409	N
OMZ	JCZ	488	U
MVX	PGR	408	N
TYL	RRJ	221	U
BMT	PUS	169	U
XPK	XDF	353	U
PCI	PZL	400	U
ZJB	DKD	756	HU
JWA	EVT	693	U
QLI	BBY	406	U
BUP	NCD	685	HU
NXA	YQW	22	N
XTX	PIH	631	N
CIU	IVV	544	N
TGZ	DRR	403	HU
PGD	CEW	1015	HU
JGG	ZFO	611	N
NXH	YVB	240	U
XCD	CIC	586	U
QJQ	NVN	234	HU
UWT	NGS	313	N
YVB	RBX	136	N
ABO	RVY	629	HU
YXH	KME	260	HU
OZR	VXP	463	N
RNV	CDE	499	N
PML	NGF	271	U
KNG	UEA	325	HU
RKE	RBL	248	N
KHW	XAD	144	N
OQA	OLL	550	N
JPE	TKE	554	N
LUO	EFU	413	N
BFY	VSP	563	N
MRB	SXR	828	N
OHP	BPN	622	U
GZM	LXX	260	N
WCF	VNF	551	HU
UWT	FPI	753	U
XAD	CXU	259	N
GRC	RFL	921	N
AJY	OUG	553	HU
LRM	KAP	444	U
IKB	CJG	370	N
BUS	IAQ	297	N
UQR	ZKP	650	N
KWZ	WNA	264	HU
SKP	BKZ	697	HU
MJU	XGS	575	U
TBC	KUL	338	U
PNU	CNJ	872	U
UDF	JUO	493	N
YVF	XEW	476	N
GHK	OVR	587	U
QJQ	FZZ	586	U
XQU	SHG	313	N
JAZ	RNW	210	HU
MGI	DED	692	HU
JLY	PGP	424	HU
CHM	EFU	246	N
SDS	XPK	595	N
FZM	HEP	51	U
DRV	GHY	181	N
KVY	ATK	1129	N
KDX	PBY	212	N
UPD	XSN	447	N
TUF	QZO	474	N
GQI	MYG	462	U
GWQ	HEP	391	N
VKS	JRY	352	N
ENT	SOB	595	N
ZXZ	NZY	485	N
DMP	LZB	520	U
PID	TSF	507	N
XWG	KLF	642	N
WKT	IAR	333	U
JCF	CGW	536	U
SIM	III	48	U
ECV	KAP	322	HU
PPW	RFL	360	U
JUE	KAZ	344	U
UQR	IJD	446	U
XPK	XTN	852	HU
YZK	IKW	603	U
OVR	BXZ	435	N
GHY	MYZ	352	U
QOY	NVT	160	N
ERF	THI	820	U
UCA	ZZG	577	HU
ZAG	CBF	553	N
FCU	JXG	555	HU
UUB	EOB	258	HU
AJY	EFU	189	N
DDV	EZW	936	HU
VTT	BNS	106	U
MTK	NGA	470	HU
SFL	MZD	547	HU
XVT	OKU	550	U
GZE	XMH	314	N
MTJ	IKB	549	N
EJZ	YKD	534	N
SLU	PNL	635	HU
KCM	LUO	392	U
GQI	WKS	843	U
AYI	WFM	536	U
GYR	HWA	477	HU
AXS	TTP	565	N
SOB	UZH	945	U
ILR	KQH	553	N
GZM	IKW	819	U
DMV	RZN	583	N
SFL	VSP	610	HU
VKA	XVT	679	U
JRS	YRG	714	N
FRM	QMZ	497	U
LUQ	SOW	845	N
MNT	DRR	412	U
TQH	GMI	565	U
BXQ	PMV	318	U
LRF	ZJY	386	U
YBB	SZB	471	HU
EEB	UBZ	486	U
HSU	RVS	526	U
LUQ	VQO	556	HU
LOB	LQF	373	U
MGV	PBC	413	HU
QYR	XVT	545	HU
EKM	XTN	918	N
DVH	IOY	392	HU
BBY	SWV	395	HU
JIA	CEW	333	U
CNE	GZM	335	U
VSF	ZAG	84	N
QKC	WVY	431	N
CUK	UWV	265	U
TBE	SRE	642	N
PFK	FEL	354	U
BBH	SZE	512	HU
WCF	GQI	406	N
CIC	ONE	386	HU
FLV	LPK	521	N
EOU	MNR	385	U
ZHF	SKP	339	U
TYX	DKD	636	HU
DEG	RWH	235	N
NOH	LIP	527	HU
JRG	JHH	706	N
PBY	EUI	403	HU
BWO	ZAG	498	HU
GIC	TWD	564	HU
DYX	RDP	524	U
JUO	VWX	180	HU
WEW	PUS	366	N
OWR	UUZ	377	N
NRU	OJA	493	U
THJ	UKJ	296	HU
MYL	NZW	417	N
WXZ	YHO	884	N
YQW	ZUO	246	HU
VCD	DYE	796	N
VPX	PBC	383	U
MYG	GZC	412	U
WEW	ZKP	796	N
YQM	CYO	595	U
WPL	BUS	448	U
KZQ	DDC	284	U
SOB	HNK	429	U
ABO	LXX	315	U
SOQ	FLU	13	N
KZS	TTS	434	U
CGX	TLF	887	N
BUN	SOB	689	U
RPM	IOI	556	N
CIC	EDR	589	N
JLY	OMK	370	U
QLI	IGF	546	N
DRR	PWS	761	U
DXL	AEL	708	N
KQU	RKX	630	HU
UYG	NQP	395	N
XKP	ZCV	737	N
FRM	EVJ	595	HU
MYT	HJX	523	HU
XQU	SFL	459	N
UKJ	UYU	444	N
PML	PCI	818	N
FDA	GYR	624	U
JRY	ADF	368	N
YVI	YYU	653	N
ZKP	KPY	652	HU
XUL	KZS	286	U
UXP	LND	367	U
PGP	FRM	407	N
GRC	CIU	318	HU
GZE	UQR	791	N
XLY	QPJ	540	HU
SEH	NUB	740	HU
SEC	SLU	532	HU
XQF	KRA	293	HU
HCB	SDS	472	N
DMR	TCJ	621	HU
PMV	SWN	251	U
FQW	JRF	484	U
LZJ	EUI	621	U
VXP	TYP	631	N
PTO	ZTY	796	N
FSX	IBK	368	N
YYU	GZM	714	HU
GZC	UKX	603	HU
ZGX	URW	588	U
VCH	NXH	233	HU
TCY	JBT	488	N
XWG	UQR	537	U
CYO	SXR	809	HU
KZQ	FXR	784	N
DMR	RQF	739	HU
QTZ	LBB	404	U
THJ	OGD	712	HU
MGS	JGG	584	N
EVT	UUX	285	N
PBC	SLR	389	U
UJF	OJH	429	U
UWV	HQX	643	N
ZTY	YVF	465	U
EEZ	NXQ	434	U
VFO	EEZ	477	U
SIV	TNV	710	U
BMT	UUM	559	HU
XVT	BAB	253	HU
ECV	RUB	404	U
JTW	GQI	546	U
BFY	EJV	481	HU
VKO	ANY	658	U
QYJ	CDE	610	HU
RBW	TYX	600	N
TDX	WVY	515	HU
GZQ	HRI	271	N
FVG	RRN	802	U
WXR	BSE	447	U
QQE	WKT	434	N
YQX	BWO	699	N
BMT	PIH	118	HU
BBH	OUF	551	HU
HSU	DAZ	446	HU
RPM	PYK	285	U
IWU	KHM	528	N
IPZ	FMK	272	N
MFZ	EDR	196	U
SWV	HXU	837	U
WEW	GOX	735	U
TAH	DWZ	729	HU
JAZ	WKT	349	N
FLV	TYP	224	HU
NGS	BAC	300	HU
BHB	MFZ	125	U
GYR	BHV	507	N
XED	RPM	347	N
GZM	TUF	461	HU
XPK	AYK	641	U
IOY	OBY	459	N
YQW	RRN	291	N
ZCV	VRW	204	U
VCP	VFO	675	U
LZB	IAR	322	HU
UAD	DLB	357	HU
KOV	IPY	426	HU
SOB	PKF	564	U
QQE	SUS	443	HU
ZLP	RGQ	340	N
FRP	JLP	272	U
ZPO	VKA	714	HU
ONE	YAD	893	U
FJD	SEH	533	N
RKE	XWM	627	U
CIN	DGN	584	HU
HIB	MGS	400	U
AXK	DGN	450	HU
CDH	GGJ	512	N
KWZ	TKA	299	N
LXX	PQT	78	N
JGG	BEX	430	HU
WMF	SFL	259	HU
EOZ	ZQJ	508	N
CIM	LZJ	728	N
BXZ	MHM	469	N
QVR	ZVD	249	HU
WXZ	VKO	363	U
EOU	IAQ	816	N
AZP	KZS	608	U
RPD	FUZ	539	N
XQF	JMX	692	N
XAP	JND	489	HU
NCD	AZP	1052	HU
VKG	VLW	690	N
WXZ	XJY	725	HU
FXR	AXS	644	HU
XJY	UNO	517	U
OHP	OUG	574	N
ADF	UAD	1270	N
HXK	XKJ	404	U
PID	NSL	682	N
BBP	TRA	382	N
IEE	JHG	605	U
CDH	FLU	461	U
QSJ	WGA	400	N
YUI	GAF	306	U
EOZ	BKZ	585	N
HWB	EOH	452	HU
RAE	BIA	925	U
TLF	GOX	778	N
EBF	XKJ	622	N
RTI	TSF	911	HU
NVT	ZOP	372	U
EDR	DYE	540	HU
DLI	ILR	578	U
